City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Nome,US,64.5011,-165.4064,12.27,52,0,20.71,clear sky
1,Tuktoyaktuk,CA,69.4541,-133.0374,-16.6,69,75,8.05,light snow
2,Gustavo Diaz Ordaz,MX,26.2333,-98.5833,82.04,71,36,4.0,scattered clouds
3,Ushuaia,AR,-54.8,-68.3,44.22,81,75,28.77,light rain
4,Bria,CF,6.5423,21.9863,74.52,75,99,7.61,overcast clouds
5,Yumen,CN,40.2833,97.2,50.18,19,0,4.65,clear sky
6,Nouadhibou,MR,20.931,-17.0347,71.58,73,20,12.66,few clouds
7,Severo-Kurilsk,RU,50.6789,156.125,32.4,79,8,5.84,clear sky
8,Geraldton,AU,-28.7667,114.6,64.81,94,4,8.05,clear sky
9,Talnakh,RU,69.4865,88.3972,-0.9,90,22,7.87,few clouds
10,Maldonado,UY,-34.6667,-54.9167,67.39,30,0,11.74,clear sky
11,Sorland,NO,67.667,12.6934,31.86,48,25,15.48,scattered clouds
12,Kaitangata,NZ,-46.2817,169.8464,52.32,96,100,3.94,light rain
13,Tabou,CI,4.423,-7.3528,83.28,76,100,11.7,overcast clouds
14,Busselton,AU,-33.65,115.3333,54.34,77,0,10.13,clear sky
15,George,ZA,-33.963,22.4617,62.15,82,20,0.0,few clouds
16,Khatanga,RU,71.9667,102.5,-28.05,100,35,3.09,scattered clouds
17,Qaanaaq,GL,77.484,-69.3632,20.57,74,98,8.14,overcast clouds
18,Rikitea,PF,-23.1203,-134.9692,77.4,63,14,12.59,few clouds
19,Burgeo,CA,47.6167,-57.6152,33.24,94,100,10.33,light snow
20,Atuona,PF,-9.8,-139.0333,79.45,75,15,23.26,few clouds
21,Hobart,AU,-42.8794,147.3294,57.06,80,100,8.05,light rain
22,Cape Town,ZA,-33.9258,18.4232,65.88,84,20,11.5,few clouds
23,Nanortalik,GL,60.1432,-45.2371,37.53,76,100,4.5,overcast clouds
24,Wanning,CN,18.8003,110.3967,68.29,84,92,6.8,overcast clouds
25,Bom Jesus,BR,-9.0744,-44.3586,97.99,26,20,6.24,few clouds
26,Kirakira,SB,-10.4544,161.9205,80.26,85,100,15.7,moderate rain
27,Nizhniy Tsasuchey,RU,50.5167,115.1333,23.29,56,100,11.61,light snow
28,Hilo,US,19.7297,-155.09,70.25,88,75,6.91,light rain
29,Punta Arenas,CL,-53.15,-70.9167,42.91,70,40,34.52,light rain
30,Teguldet,RU,57.3064,88.1667,33.21,98,100,6.67,overcast clouds
31,Nordfjordeid,NO,61.9063,5.9915,34.03,80,75,8.05,light shower snow
32,Kanel,SN,15.4916,-13.1763,100.4,19,0,6.91,clear sky
33,Grindavik,IS,63.8424,-22.4338,37.35,93,100,14.97,overcast clouds
34,Smoky Lake,CA,54.1169,-112.4686,38.12,60,74,10.36,broken clouds
35,Port Alfred,ZA,-33.5906,26.891,65.17,80,2,4.0,clear sky
36,Albany,US,42.6001,-73.9662,50.45,51,77,3.0,broken clouds
37,East London,ZA,-33.0153,27.9116,67.14,82,20,11.5,few clouds
38,Omsukchan,RU,62.5333,155.8,-10.7,100,94,3.0,overcast clouds
39,Thompson,CA,55.7435,-97.8558,37.56,52,20,8.05,few clouds
40,Agirish,RU,61.9247,63.0231,28.49,92,99,5.5,overcast clouds
41,Kodiak,US,57.79,-152.4072,35.11,55,0,10.36,clear sky
42,Severo-Yeniseyskiy,RU,60.3725,93.0408,18.45,83,100,7.65,overcast clouds
43,Mahebourg,MU,-20.4081,57.7,79.09,83,100,11.5,overcast clouds
44,Alofi,NU,-19.0595,-169.9187,73.29,94,75,3.44,broken clouds
45,Tenenkou,ML,14.4572,-4.9169,105.96,6,9,5.03,clear sky
46,Mar Del Plata,AR,-38.0023,-57.5575,71.62,33,0,14.97,clear sky
47,Aanekoski,FI,62.6946,25.818,32.07,99,100,0.94,light snow
48,Sobolevo,RU,54.4299,31.8996,30.6,80,71,10.18,broken clouds
49,Vaini,TO,-21.2,-175.2,71.76,94,100,6.91,overcast clouds
50,San Ramon,US,37.7799,-121.978,62.6,65,0,6.91,clear sky
51,San Carlos De Bariloche,AR,-41.1456,-71.3082,53.35,47,40,24.16,scattered clouds
52,Provideniya,RU,64.3833,-173.3,-5.03,83,3,9.78,clear sky
53,Namibe,AO,-15.1961,12.1522,71.06,80,88,11.99,overcast clouds
54,Blagoyevo,RU,63.3667,47.9167,11.23,94,86,0.81,overcast clouds
55,Bluff,NZ,-46.6,168.3333,53.85,84,100,8.43,light rain
56,Emerald,AU,-23.5333,148.1667,68.34,84,6,10.92,clear sky
57,Souillac,MU,-20.5167,57.5167,79.18,83,100,11.5,overcast clouds
58,Mayo,US,38.8876,-76.5119,56.66,44,40,9.22,scattered clouds
59,Port Shepstone,ZA,-30.7414,30.455,77.92,79,100,9.8,overcast clouds
60,Roald,NO,62.5833,6.1333,36.34,60,40,11.5,scattered clouds
61,Orange,US,33.7,-117.7675,64.6,81,100,3.44,haze
62,Mataura,NZ,-46.1927,168.8643,51.15,92,100,3.6,overcast clouds
63,Port Elizabeth,ZA,-33.918,25.5701,65.1,87,0,12.66,clear sky
64,Manta,EC,-0.95,-80.7333,83.98,74,40,6.91,scattered clouds
65,Romny,UA,50.751,33.4747,35.6,63,72,6.93,broken clouds
66,Kahului,US,20.8947,-156.47,74.84,67,20,10.0,few clouds
67,Jamestown,US,42.097,-79.2353,44.02,53,0,3.44,clear sky
68,Griffith,US,41.5284,-87.4237,54.25,74,100,19.57,overcast clouds
69,Avarua,CK,-21.2078,-159.775,71.65,100,99,1.14,overcast clouds
70,Marrakesh,MA,31.6315,-8.0083,53.67,87,75,9.22,broken clouds
71,Kapaa,US,22.0752,-159.319,73.47,76,40,17.27,scattered clouds
72,Ponta Do Sol,PT,32.6667,-17.1,61.43,48,38,12.46,scattered clouds
73,Charters Towers,AU,-20.1,146.2667,72.75,91,41,5.95,scattered clouds
74,Mehamn,NO,71.0357,27.8492,19.35,79,20,2.3,few clouds
75,Maymyo,MM,22.0333,96.4667,72.79,49,5,1.61,clear sky
76,Santarem,BR,-2.4431,-54.7083,82.53,83,75,5.75,broken clouds
77,Aksarka,RU,66.5606,67.7975,25.43,97,100,6.13,light snow
78,Hornepayne,CA,49.2138,-84.7705,33.93,90,100,6.46,overcast clouds
79,Vardo,NO,70.3705,31.1107,28.38,54,75,16.11,broken clouds
80,Georgetown,MY,5.4112,100.3354,78.73,92,40,5.75,moderate rain
81,Cidreira,BR,-30.1811,-50.2056,71.24,85,100,8.88,overcast clouds
82,Port Hedland,AU,-20.3167,118.5667,80.65,83,0,8.05,clear sky
83,Puerto Ayora,EC,-0.7393,-90.3518,87.76,88,80,4.0,broken clouds
84,Vila Velha,BR,-20.3297,-40.2925,87.75,66,20,11.5,few clouds
85,Nishihara,JP,26.1842,127.7558,61.88,75,0,6.91,clear sky
86,Naifaru,MV,5.4444,73.3657,84.02,65,74,1.48,broken clouds
87,Codrington,AU,-38.2667,141.9667,50.61,89,70,2.77,broken clouds
88,Custoias,PT,41.1053,-7.321,51.98,31,73,14.7,broken clouds
89,Kloulklubed,PW,7.0419,134.2556,77.5,73,100,8.97,overcast clouds
90,Ambilobe,MG,-13.2,49.05,75.72,92,95,1.79,overcast clouds
91,Chenzhou,CN,25.8,113.0333,59.58,73,0,0.85,clear sky
92,Upernavik,GL,72.7868,-56.1549,26.22,76,99,2.62,overcast clouds
93,San Patricio,US,28.017,-97.5169,84.29,62,85,17.94,overcast clouds
94,Bredasdorp,ZA,-34.5322,20.0403,65.17,71,3,13.24,clear sky
95,Asyut,EG,27.181,31.1837,90.39,7,10,14.58,clear sky
96,Key Largo,US,25.0865,-80.4473,84.0,58,14,6.15,few clouds
97,Kruisfontein,ZA,-34.0033,24.7314,62.89,83,0,8.39,clear sky
98,Nizhnyaya Omka,RU,55.4338,74.9426,37.72,86,100,10.07,overcast clouds
99,Ruwi,OM,23.5996,58.5507,85.69,44,0,10.07,clear sky
100,Tiksi,RU,71.6872,128.8694,-6.5,100,100,5.26,overcast clouds
101,Yellowknife,CA,62.456,-114.3525,32.41,66,75,15.01,broken clouds
102,Hithadhoo,MV,-0.6,73.0833,83.77,67,55,3.83,broken clouds
103,Hami,CN,42.8,93.45,59.4,14,6,5.17,clear sky
104,Necochea,AR,-38.5473,-58.7368,64.98,40,1,13.49,clear sky
105,Gat,IL,31.61,34.7642,69.82,100,5,8.75,clear sky
106,Yichun,CN,47.7,128.9,35.6,94,100,2.46,light rain
107,Arraial Do Cabo,BR,-22.9661,-42.0278,87.76,74,0,14.97,clear sky
108,Margate,GB,51.3813,1.3862,55.87,79,100,4.0,overcast clouds
109,Anadyr,RU,64.75,177.4833,-12.5,77,0,13.42,clear sky
110,Torbay,CA,47.6666,-52.7314,50.77,62,75,8.01,broken clouds
111,Los Llanos De Aridane,ES,28.6585,-17.9182,61.12,72,40,20.71,scattered clouds
112,Suchiapa,MX,16.6167,-93.0833,89.92,43,40,12.66,smoke
113,Sawakin,SD,19.1059,37.3321,81.34,60,38,5.5,scattered clouds
114,Springfield,US,37.2153,-93.2982,62.65,69,0,9.22,clear sky
115,Kraskino,RU,42.7114,130.7794,38.7,88,6,2.93,clear sky
116,Malvern,US,34.3623,-92.813,75.72,50,100,4.76,overcast clouds
117,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,21.79,68,0,6.71,clear sky
118,Luanda,AO,-8.8368,13.2343,80.6,78,40,10.36,scattered clouds
119,Altay,CN,47.8667,88.1167,40.93,52,100,7.92,overcast clouds
120,Pevek,RU,69.7008,170.3133,-21.59,98,28,2.46,scattered clouds
121,Hermanus,ZA,-34.4187,19.2345,62.8,79,4,13.35,light rain
122,Victoria,HK,22.2855,114.1577,68.38,73,4,15.99,clear sky
123,Chokurdakh,RU,70.6333,147.9167,-18.8,100,47,7.87,scattered clouds
124,Aberdeen,GB,57.1437,-2.0981,45.09,88,75,12.66,broken clouds
125,Draper,US,40.5247,-111.8638,62.08,28,0,18.41,clear sky
126,Istok,XK,42.7808,20.4875,40.93,84,100,1.63,overcast clouds
127,Asau,RO,46.4333,26.4,40.95,63,95,7.11,overcast clouds
128,Galle,LK,6.0367,80.217,79.47,80,88,2.57,overcast clouds
129,Lashio,MM,22.9333,97.75,68.07,67,20,1.68,few clouds
130,Smithers,CA,54.7804,-127.1743,30.52,74,100,0.0,overcast clouds
131,Iberia,US,29.9502,-91.7507,79.97,57,20,11.5,few clouds
132,Vangaindrano,MG,-23.35,47.6,74.21,88,5,1.88,clear sky
133,Beisfjord,NO,68.3751,17.5988,26.65,80,31,5.75,scattered clouds
134,Naze,JP,28.3667,129.4833,50.92,53,0,5.06,clear sky
135,Chino Valley,US,34.7575,-112.4538,67.77,30,7,5.01,clear sky
136,Baoshan,CN,46.5586,131.4244,48.81,54,95,9.82,overcast clouds
137,Adrar,MR,20.5022,-10.0711,90.43,13,0,18.95,clear sky
138,Cabo San Lucas,MX,22.8909,-109.9124,77.61,52,0,17.27,clear sky
139,Manavalakurichi,IN,8.1333,77.3,81.66,74,33,1.12,scattered clouds
140,Hwange,ZW,-18.3693,26.5019,70.84,89,94,0.65,light rain
141,Grand Gaube,MU,-20.0064,57.6608,79.2,85,100,8.01,overcast clouds
142,Guerrero Negro,MX,27.9769,-114.0611,63.97,60,86,17.45,overcast clouds
143,Nikolskoye,RU,59.7035,30.7861,38.71,71,100,10.56,overcast clouds
144,Nuuk,GL,64.1835,-51.7216,36.21,80,75,2.3,broken clouds
145,Rawson,AR,-43.3002,-65.1023,65.21,33,55,20.04,broken clouds
146,Dicabisagan,PH,17.0818,122.4157,76.26,88,91,11.97,overcast clouds
147,Esperance,AU,-33.8667,121.9,62.44,74,53,15.88,broken clouds
148,Clyde River,CA,70.4692,-68.5914,14.23,92,75,0.0,light snow
149,Barrow,US,71.2906,-156.7887,-5.78,77,100,13.8,light snow
150,Ossora,RU,59.2353,163.0719,4.69,87,58,5.55,broken clouds
151,Tautira,PF,-17.7333,-149.15,81.21,79,76,16.13,light rain
152,Butaritari,KI,3.0707,172.7902,81.3,79,98,15.14,overcast clouds
153,Mishan,CN,45.55,131.8833,42.98,68,54,6.31,broken clouds
154,Uinskoye,RU,56.8817,56.5813,40.28,99,100,11.34,overcast clouds
155,Kudahuvadhoo,MV,2.6708,72.8944,84.25,57,35,1.68,scattered clouds
156,Bay Roberts,CA,47.5999,-53.2648,51.55,62,94,6.89,overcast clouds
157,Kavieng,PG,-2.5744,150.7967,79.52,85,100,16.44,light rain
158,Buala,SB,-8.145,159.5921,80.51,84,99,12.1,moderate rain
159,Leningradskiy,RU,69.3833,178.4167,-14.67,99,100,4.65,overcast clouds
160,Turukhansk,RU,65.8167,87.9833,24.22,78,100,17.76,overcast clouds
161,Anshan,CN,41.1236,122.99,53.49,48,65,16.46,broken clouds
162,Puerto Boyaca,CO,5.9758,-74.5885,88.43,60,91,2.17,overcast clouds
163,Bethel,US,41.3712,-73.414,54.01,51,40,10.36,scattered clouds
164,Ulaangom,MN,49.9811,92.0667,26.37,96,100,1.86,overcast clouds
165,Carnarvon,AU,-24.8667,113.6333,75.27,83,0,12.66,clear sky
166,Betafo,MG,-19.8333,46.85,61.79,82,69,3.06,broken clouds
167,Ordu,TR,40.9086,37.6845,37.9,90,38,0.49,scattered clouds
168,Kaohsiung,TW,22.6163,120.3133,68.04,81,20,6.91,few clouds
169,Iqaluit,CA,63.7506,-68.5145,11.93,72,75,20.71,broken clouds
170,Oxford,GB,51.7522,-1.256,58.17,78,100,11.5,overcast clouds
171,Teya,RU,60.3778,92.6267,14.86,94,100,4.45,overcast clouds
172,Taoudenni,ML,22.6783,-3.9836,98.69,9,0,16.67,clear sky
173,Ampanihy,MG,-24.7,44.75,75.07,77,25,11.52,scattered clouds
174,Bulgan,MN,48.8125,103.5347,27.88,59,96,6.13,overcast clouds
175,Tagusao,PH,9.1924,117.8141,78.48,79,92,2.95,overcast clouds
176,Ribeira Grande,PT,38.5167,-28.7,64.8,68,40,6.91,scattered clouds
177,Hambantota,LK,6.1241,81.1185,80.37,75,66,3.53,broken clouds
178,Karratha,AU,-20.7377,116.8463,83.35,66,16,10.02,few clouds
179,Pimenta Bueno,BR,-11.6725,-61.1936,83.93,78,8,1.5,clear sky
180,Honiara,SB,-9.4333,159.95,78.03,93,100,6.51,overcast clouds
181,Mount Gambier,AU,-37.8333,140.7667,46.31,93,100,1.14,fog
182,Laguna,US,38.421,-121.4238,63.79,63,0,8.05,clear sky
183,Placido De Castro,BR,-10.3353,-67.1856,90.7,46,16,4.07,few clouds
184,Sudak,UA,44.85,34.9667,43.97,64,65,5.03,broken clouds
185,Itarema,BR,-2.9248,-39.9167,84.04,74,93,13.09,light rain
186,Kyren,RU,51.6828,102.1408,22.69,93,97,1.34,overcast clouds
187,Camacha,PT,33.0833,-16.3333,58.42,51,40,20.71,scattered clouds
188,Ruteng,ID,-8.6136,120.4721,59.88,84,49,1.07,scattered clouds
189,Erenhot,CN,43.6475,111.9767,40.57,46,1,16.04,clear sky
190,Banda Aceh,ID,5.5577,95.3222,77.85,81,100,4.85,light rain
191,Kendari,ID,-3.945,122.4989,74.84,92,98,3.44,overcast clouds
192,Norman Wells,CA,65.282,-126.8329,-7.56,71,75,9.22,broken clouds
193,Saint-Philippe,RE,-21.3585,55.7679,76.59,86,100,15.23,light rain
194,Sisimiut,GL,66.9395,-53.6735,33.22,82,17,6.06,few clouds
195,Chapais,CA,49.7834,-74.8492,31.78,72,43,6.02,scattered clouds
196,Tshikapa,CD,-6.4167,20.8,69.66,96,53,3.22,heavy intensity rain
197,Maceio,BR,-9.6658,-35.7353,87.24,54,40,12.66,scattered clouds
198,Yar-Sale,RU,66.8333,70.8333,27.43,97,100,12.62,light snow
199,Cherskiy,RU,68.75,161.3,-23.4,99,66,2.26,broken clouds
200,Saint-Augustin,CA,51.226,-58.6502,32.65,95,59,4.09,broken clouds
201,Fort-Shevchenko,KZ,44.5086,50.263,47.08,82,87,8.32,overcast clouds
202,Yizheng,CN,24.6706,103.4296,55.18,77,80,3.47,broken clouds
203,Kibala,TD,9.1104,18.3463,96.75,28,20,0.0,few clouds
204,Constitucion,CL,-35.3333,-72.4167,64.9,47,5,13.49,clear sky
205,Avera,US,33.194,-82.5271,71.91,41,77,5.32,broken clouds
206,Bubaque,GW,11.2833,-15.8333,75.83,71,3,21.61,clear sky
207,Narsaq,GL,60.9167,-46.05,50.22,65,99,1.23,overcast clouds
208,Srednekolymsk,RU,67.45,153.6833,-10.12,99,100,3.94,overcast clouds
209,New Norfolk,AU,-42.7826,147.0587,56.71,73,96,2.73,light rain
210,Tasiilaq,GL,65.6145,-37.6368,15.55,87,88,8.39,overcast clouds
211,Lebu,CL,-37.6167,-73.65,58.51,69,11,17.25,few clouds
212,Vanimo,PG,-2.6741,141.3028,77.23,90,97,5.84,light rain
213,Canaries,ES,28.0,-15.5,60.39,59,75,18.41,broken clouds
214,Makakilo City,US,21.3469,-158.0858,73.72,65,0,12.66,clear sky
215,Newport,GB,51.5877,-2.9984,57.92,83,100,1.01,overcast clouds
216,Jaynagar,IN,26.5833,86.15,84.27,14,0,2.84,clear sky
217,Saskylakh,RU,71.9167,114.0833,-8.39,99,99,5.01,overcast clouds
218,Castro,BR,-24.7911,-50.0119,75.67,75,17,7.96,few clouds
219,Mamallapuram,IN,12.6264,80.1722,85.05,82,18,10.8,few clouds
220,Lagoa,PT,39.05,-27.9833,59.0,64,100,10.65,overcast clouds
221,Sitka,US,57.0531,-135.33,39.09,81,20,3.44,few clouds
222,Lac-Megantic,CA,45.5834,-70.8823,41.52,80,100,8.84,overcast clouds
223,Itoman,JP,26.1247,127.6694,62.62,72,40,6.91,scattered clouds
224,Berdigestyakh,RU,62.0989,126.6992,17.17,94,100,7.85,light snow
225,Olinda,BR,-8.0089,-34.8553,85.73,62,40,10.36,scattered clouds
226,Kiunga,PG,-6.1219,141.2906,72.14,99,100,2.35,overcast clouds
227,Tura,IN,25.5198,90.2201,74.68,79,0,8.14,clear sky
228,Rocha,UY,-34.4833,-54.3333,70.52,27,0,12.5,clear sky
229,Alice Springs,AU,-23.7,133.8833,69.22,32,0,0.0,clear sky
230,Masallatah,LY,32.6167,14.0,75.07,38,54,5.41,broken clouds
231,Airai,TL,-8.9266,125.4092,58.42,91,14,1.12,few clouds
232,Carutapera,BR,-1.195,-46.02,84.25,70,100,5.12,overcast clouds
233,Sortland,NO,68.6949,15.4162,26.56,54,42,10.56,scattered clouds
234,Marawi,PH,7.9986,124.2928,68.58,96,84,0.89,broken clouds
235,Northam,GB,51.0333,-4.2167,54.39,95,100,15.28,overcast clouds
236,Guanica,PR,17.9716,-66.908,86.52,72,39,17.05,scattered clouds
237,Vestmanna,FO,62.1564,-7.1664,32.92,64,100,9.22,overcast clouds
238,Arica,CL,-18.475,-70.3042,78.35,60,0,13.8,clear sky
239,Sorong,ID,-0.8833,131.25,78.12,86,55,6.26,broken clouds
240,Saldanha,ZA,-33.0117,17.9442,64.45,82,21,8.86,few clouds
241,Ilulissat,GL,69.2167,-51.1,39.22,41,40,11.5,scattered clouds
242,Havelock,US,34.8791,-76.9013,62.98,46,0,4.0,clear sky
243,Filadelfia,US,39.9523,-75.1638,54.55,46,75,12.66,broken clouds
244,Yaan,NG,7.3833,8.5667,99.34,25,36,3.65,scattered clouds
245,Shenkursk,RU,62.1091,42.896,21.6,94,100,3.76,overcast clouds
246,Lompoc,US,34.6391,-120.4579,68.13,70,0,21.99,clear sky
